Azimuth_angle_deg,Elevation_angle_deg
0.00,16.1901
1.00,16.1517
2.00,16.1325
3.00,35.0916
4.00,37.9024
5.00,42.6726
6.00,45.6081
7.00,47.3780
8.00,46.6575
9.00,45.9314
10.00,45.5696
11.00,45.5696
12.00,46.7764
13.00,46.6575
14.00,45.2123
15.00,44.8593
16.00,44.6264
17.00,45.8381
18.00,46.4211
19.00,46.3036
20.00,45.8381
21.00,45.6081
22.00,45.4937
23.00,45.2664
24.00,32.1724
25.00,31.9530
26.00,31.5933
27.00,31.3107
28.00,31.2952
29.00,31.6331
30.00,32.3288
31.00,33.0522
32.00,33.8049
33.00,34.5883
34.00,35.4040
35.00,36.2538
36.00,36.6921
37.00,54.6818
38.00,55.3357
39.00,55.8886
40.00,56.1118
41.00,56.6750
42.00,57.1308
43.00,57.4758
44.00,57.8234
45.00,58.2911
46.00,58.6451
47.00,59.1211
48.00,59.1211
49.00,59.6019
50.00,59.6019
51.00,59.1211
52.00,58.5268
53.00,57.5914
54.00,57.0164
55.00,56.3362
56.00,55.2260
57.00,54.5738
58.00,53.4052
59.00,46.6079
60.00,45.2948
61.00,45.1243
62.00,45.1243
63.00,45.1243
64.00,45.7538
65.00,45.7538
66.00,46.3972
67.00,46.3972
68.00,46.3972
69.00,47.0546
70.00,47.0546
71.00,47.0546
72.00,47.0546
73.00,47.7263
74.00,47.7263
75.00,47.7263
76.00,47.7263
77.00,47.7263
78.00,47.7263
79.00,48.4127
80.00,48.4127
81.00,48.4127
82.00,80.4371
83.00,82.0261
84.00,82.0261
85.00,82.3267
86.00,82.3267
87.00,82.3267
88.00,82.6277
89.00,82.6277
90.00,82.9286
91.00,82.9286
92.00,82.9346
93.00,82.9346
94.00,82.9346
95.00,82.9409
96.00,82.9409
97.00,83.2415
98.00,83.2415
99.00,83.2415
100.00,83.2477
101.00,83.2477
102.00,83.1053
103.00,83.1053
104.00,83.1053
105.00,83.1115
106.00,83.1115
107.00,82.9695
108.00,82.9695
109.00,82.9695
110.00,82.9757
111.00,82.8278
112.00,82.8342
113.00,82.8342
114.00,82.6931
115.00,82.6931
116.00,82.2612
117.00,82.2681
118.00,82.1212
119.00,82.1280
120.00,81.9814
121.00,81.9884
122.00,81.8420
123.00,81.7032
124.00,81.7032
125.00,81.2847
126.00,81.1393
127.00,81.0021
128.00,80.5797
129.00,80.4433
130.00,79.8892
131.00,79.7546
132.00,79.3391
133.00,79.0634
134.00,78.5203
135.00,77.9815
136.00,77.4468
137.00,76.7779
138.00,75.4171
139.00,71.5313
140.00,31.6331
141.00,30.9638
142.00,30.3195
143.00,30.0064
144.00,29.3975
145.00,28.8108
146.00,27.1729
147.00,26.4170
148.00,25.9344
149.00,25.2405
150.00,24.5806
151.00,23.9523
152.00,22.4161
153.00,0.0000
154.00,0.0000
155.00,0.0000
156.00,0.0000
157.00,0.0000
158.00,0.0000
159.00,0.0000
160.00,0.0000
161.00,0.6561
162.00,0.0000
163.00,0.0000
164.00,0.0000
165.00,0.0000
166.00,0.0000
167.00,0.0000
168.00,0.0000
169.00,0.0000
170.00,0.0000
171.00,0.0000
172.00,0.0000
173.00,0.0000
174.00,0.0000
175.00,0.0000
176.00,0.0000
177.00,0.0000
178.00,0.0000
179.00,0.0000
180.00,0.0000
181.00,0.0000
182.00,0.0000
183.00,0.0000
184.00,61.2576
185.00,61.2576
186.00,62.4794
187.00,65.8725
188.00,68.5425
189.00,69.9160
190.00,69.4554
191.00,69.4554
192.00,70.8454
193.00,72.2591
194.00,73.2143
195.00,74.1792
196.00,75.1534
197.00,76.1364
198.00,76.6311
199.00,77.1278
200.00,77.6266
201.00,78.6297
202.00,78.6297
203.00,79.1339
204.00,79.6399
205.00,79.6399
206.00,79.6399
207.00,79.6399
208.00,79.6399
209.00,79.6399
210.00,79.6399
211.00,79.6399
212.00,80.1475
213.00,80.1475
214.00,80.6566
215.00,80.6566
216.00,81.1673
217.00,81.1673
218.00,81.1673
219.00,81.6794
220.00,81.6794
221.00,81.6794
222.00,82.1928
223.00,82.1928
224.00,82.1928
225.00,82.7075
226.00,82.7075
227.00,82.7075
228.00,82.7075
229.00,82.7075
230.00,83.2233
231.00,83.2233
232.00,83.2233
233.00,87.4069
234.00,87.4069
235.00,87.4069
236.00,87.9250
237.00,87.9250
238.00,87.9250
239.00,87.9250
240.00,87.9250
241.00,87.9250
242.00,87.9250
243.00,87.9250
244.00,88.0978
245.00,88.0978
246.00,88.0978
247.00,88.0978
248.00,88.0978
249.00,88.0978
250.00,88.0978
251.00,88.0978
252.00,88.0978
253.00,88.0978
254.00,88.0978
255.00,88.0978
256.00,88.0978
257.00,88.0978
258.00,88.0978
259.00,88.0978
260.00,88.0978
261.00,88.2706
262.00,88.2706
263.00,88.2706
264.00,88.2706
265.00,88.2706
266.00,88.2706
267.00,88.2706
268.00,88.2706
269.00,88.2706
270.00,88.2706
271.00,88.2706
272.00,88.2706
273.00,88.2706
274.00,88.2706
275.00,88.2706
276.00,88.2706
277.00,88.2706
278.00,88.2706
279.00,88.2706
280.00,88.0978
281.00,88.0978
282.00,88.0978
283.00,88.0978
284.00,88.0978
285.00,88.0978
286.00,88.0978
287.00,88.0978
288.00,88.0978
289.00,88.0978
290.00,88.0978
291.00,88.0978
292.00,88.0978
293.00,88.0978
294.00,88.0978
295.00,87.5795
296.00,87.5795
297.00,87.5795
298.00,87.5795
299.00,87.5795
300.00,87.5795
301.00,87.5795
302.00,87.5795
303.00,87.4069
304.00,87.4069
305.00,87.4069
306.00,87.4069
307.00,87.4069
308.00,87.2342
309.00,87.2342
310.00,87.2342
311.00,87.2342
312.00,87.2342
313.00,87.0617
314.00,87.0617
315.00,87.0617
316.00,86.8892
317.00,86.8892
318.00,86.8892
319.00,86.7167
320.00,86.7167
321.00,86.7167
322.00,86.5443
323.00,86.5443
324.00,86.3720
325.00,86.3720
326.00,86.1997
327.00,86.1997
328.00,86.0275
329.00,85.8554
330.00,85.8554
331.00,85.6833
332.00,85.5113
333.00,85.3395
334.00,85.1676
335.00,84.9959
336.00,83.9676
337.00,83.7966
338.00,83.4548
339.00,83.2841
340.00,82.9431
341.00,82.6026
342.00,82.2626
343.00,81.7537
344.00,62.0691
345.00,60.4586
346.00,58.8978
347.00,53.8234
348.00,9.4623
349.00,9.4842
350.00,15.9907
351.00,16.0076
352.00,16.0076
353.00,16.0414
354.00,2.1654
355.00,0.0000
356.00,0.0000
357.00,4.4787
358.00,5.2025
359.00,16.2287
360.00,16.1901
